id_autor,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,nacionalidad,fecha_nacimiento
1,Jorge,María,Castro,Torres,Colombiana,1949-05-08
2,Felipe,Javier,Galindo,García,Chilena,1918-05-24
3,Rubiela,,Gómez,Torres,Portuguesa,1915-08-08
4,José,María,Ramírez,Bernal,Mexicana,1905-05-07
5,Luis,Marina,Fernández,Montes,Britanica,1990-09-04
6,María,Mario,Benavides,Herrera,Portuguesa,1935-09-06
7,Lucía,,Yepes,Quintero,Portuguesa,1975-04-11
8,Andrea,Diana,Sanabria,Agudelo,Rusa,1949-12-01
9,Mario,,Ariza,Montoya,Colombiana,1928-08-25
10,Franco,,Rivera,Caicedo,Italiana,1949-11-10
11,Álvaro,David,Prieto,Escobar,Italiana,1918-05-05
12,Diego,Luz,Torres,Gutiérrez,Espanola,1964-05-31
13,Ana,,Moreno,López,China,1947-06-19
14,Yaneth,,Acevedo,Morales,Venezolana,1996-03-20
15,Eliana,Laura,Ortiz,Cuesta,Japonesa,1914-02-21
16,Jesús,Alberto,Pérez,Padilla,China,1964-11-21
17,Claudia,Lizeth,Villamil,Bedoya,Argentina,1908-03-23
18,Luis,,Duque,Benítez,Alemana,1914-04-27
19,Jaime,,Torres,Gómez,Espanola,1968-03-16
20,Valentina,Alba,Rojas,Valderrama,Brasilena,1929-03-09
21,Germán,Eugenia,Hoyos,Medina,Estadounidense,1947-11-27
22,Néstor,,Cruz,Ortiz,Argentina,1930-09-16
23,Esther,Luis,Muñoz,Orozco,Britanica,1929-04-27
24,Ernesto,Pilar,Torres,Bolívar,Francesa,1999-12-08
25,José,Andrea,Gómez,González,Italiana,1910-01-14
26,Antonio,Dario,Salazar,Martínez,Mexicana,1956-08-08
27,Nidia,Albert,Contreras,Domínguez,Argentina,1937-11-09
28,Humberto,,Rodríguez,Camargo,Rusa,1956-06-18
29,Manuel,Andrés,Ortiz,Bedoya,Uruguaya,1970-12-28
30,Martha,,Mejía,Cárdenas,Venezolana,1925-08-21
31,Leonel,Germán,Ortiz,Sierra,Britanica,2000-09-22
32,Gloria,Yeison,Polo,Jiménez,Rusa,1976-11-15
33,Fernando,,León,Sánchez,Japonesa,1964-12-14
34,Cristian,Andrés,Patiño,Contreras,Chilena,1991-06-05
35,María,Camila,Rodríguez,Oviedo,Mexicana,1919-09-04
36,Fabio,Álvaro,Álvarez,Martínez,Peruana,1975-10-01
37,Henry,Gonzalo,García,Reyes,Japonesa,1968-06-22
38,Patricia,Rafael,Castañeda,Hernández,Venezolana,1994-12-10
39,Linda,Luis,Ortiz,Arboleda,Portuguesa,1902-01-23
40,Deisy,,Rojas,Montoya,Espanola,1996-05-07
41,Miguel,,Ramírez,Álvarez,Italiana,1920-01-07
42,Ancizar,Jesús,Mendoza,Delgado,Peruana,1981-05-31
43,Paola,Lorena,Quintero,Fernández,Francesa,1989-10-27
44,Ángela,,Torres,García,Cubana,1919-02-04
45,Fernando,,Torres,Espitia,Alemana,1991-02-03
46,Humberto,Patricia,Moreno,Camacho,Chilena,1967-02-03
47,Fernanda,,Hernández,Rubio,Portuguesa,1995-03-01
48,Carlos,,Ortega,Serna,China,1958-03-01
49,Mario,Liliana,López,Mejía,Espanola,1965-02-17
50,Estela,,Correa,Padilla,Alemana,1942-12-19
51,Javier,Marino,López,Castillo,Rusa,1914-02-18
52,Ruth,Nelson,Vargas,Ramírez,Uruguaya,1912-06-02
53,Mayerly,,Salazar,Castro,Portuguesa,1922-07-26
54,Tatiana,Harold,Marín,Prieto,Uruguaya,1998-08-26
55,Luis,Luz,Anaya,Perea,Cubana,1975-12-04
