id_usuario,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,correo,telefono,direccion,fecha_registro,clave,rol,limite_prestamos
1,Andrea,Alberto,Rodríguez,Chaparro,andrea.rodriguez@correo.edu.co,01 8005 025 513,"Carrera 4ª # 54C-75 Este, Etapa 5 apartamento 97, 258839, Tibacuy, Cundinamarca",2025-09-19,+1Lv(dVQMm,Bibliotecario,5
2,Nancy,,Orozco,Gutiérrez,nancy.orozco@correo.edu.co,+573276618308,"Transversal 44 # 78-3 Este, Apartamento 13, 524391, Samaniego, Nariño",2023-08-31,0SPXHQz)@o,Docente,8
3,Wilson,Armando,Hoyos,Vargas,wilson.hoyos@correo.edu.co,(+57)6011542306,"Cr. 1ª # 17-2 Sur, 192241, La Vega, Cauca",2025-08-21,@_*4KxoQ)p,Bibliotecario,3
4,Gabriel,Juan,Díaz,Díaz,gabriel.diaz@correo.edu.co,57 316 201 90 11,"Cl. 41 # 5-6 Sur, Etapa 9 apartamento 5, 203325, San Diego, Cesar",2021-07-02,_14KeKk0VJ,Bibliotecario,3
5,Miguel,Juan,Mosquera,Mendoza,miguel.mosquera@correo.edu.co,(+57)3273498529,"Avenida carrera 5ª # 36-6, 736559, Carmen de Apicalá, Tolima",2024-12-12,tI*M_8BtF9,Externo,2
6,Enrique,Gladys,Londoño,Bermúdez,enrique.londono@correo.edu.co,3229853243,"Carrera 5H Bis # 7-94 Sur, Bodega 317, 542763, Hacarí, Norte de Santander",2021-01-05,U6*g_Hv5(r,Administrativo,5
7,Humberto,Javier,Sierra,López,humberto.sierra@correo.edu.co,+57 323 710 30 73,"Carrera 90 Bis R # 4M-24, 732014, Coyaima, Tolima",2021-12-10,2ij@4MzhzY,Externo,8
8,Wilmer,Liliana,González,Hernández,wilmer.gonzalez@correo.edu.co,573103694811,"Cl. 29 # 7-2, 197068, El Tambo, Cauca",2019-09-29,HfU^9iAd88,Estudiante,8
9,Andrés,,López,Gómez,andres.lopez@correo.edu.co,018004101679,"Carrera 11V # 5-3, Apartamento 28, 236049, Planeta Rica, Córdoba",2019-12-10,puH8RnqW#_,Bibliotecario,5
10,Angie,,Muñoz,Sánchez,angie.munoz@correo.edu.co,+576082353160,"Dg. 51 # 52A-8 Este, 737117, Roncesvalles, Tolima",2024-08-04,l&&2RoQrN!,Bibliotecario,2
11,Gustavo,,Arias,Flórez,gustavo.arias@correo.edu.co,573239138107,"Avenida Maritza María Quintero # 7-36 Sur, Apto. 72, 412154, Hobo, Huila",2019-03-21,m6z0agsi@R,Estudiante,3
12,Juan,David,Guzmán,Ceballos,juan.guzman@correo.edu.co,316 694 89 93,"Carrera 32 # 81-3 Sur, 055635, Vigía del Fuerte, Antioquia",2022-08-11,&F7YNbup28,Docente,3
13,Jesús,Ever,Prieto,Muñoz,jesus.prieto@correo.edu.co,+57 327 100 66 89,"Calle 3 Bis # 3-9, Etapa 2 apartamento 8, 057623, Yalí, Antioquia",2018-01-11,#RMqREWe28,Docente,2
14,Alberto,Martha,Arias,Ocampo,alberto.arias@correo.edu.co,57 608 335 05 35,"Carrera 1H # 9-1, Casa 14, 175780, Risaralda, Caldas",2023-07-04,9qv54CDt!t,Administrativo,2
15,Francisco,Alexandra,Loaiza,Hernández,francisco.loaiza@correo.edu.co,576017218893,"Diagonal 8ª # 7-13 Sur, 238912, San Pelayo, Córdoba",2022-11-26,^kVAKSlUg8,Bibliotecario,2
16,Clara,Lucía,Calderón,Ríos,clara.calderon@correo.edu.co,8610656,"Transversal 168 # 9-1, Torre 8 apartamento 57, 256527, Gama, Cundinamarca",2022-03-18,^2UX+aH73n,Administrativo,5
17,Blanca,,Díaz,Sarmiento,blanca.diaz@correo.edu.co,+57 302 348 00 41,"Carrera 85 # 1-79, 685369, Villanueva, Santander",2018-03-04,@*9ZzmaXDW,Bibliotecario,8
18,Paula,,Montoya,Arrieta,paula.montoya@correo.edu.co,(+57) 326 304 02 96,"Calle 24 # 38-2 Sur, Casa 22, 547429, Ocaña, Norte de Santander",2019-02-21,s_3SnHymhf,Bibliotecario,8
